,,,,,,,,,,,
,id,name,description,item_type,parent_item_id,price,contract_term,target_audience_id,is_active,created_at,updated_at
,1,Internet,Delivering stable high-speed internet for homes and businesses.,solution,,,,,TRUE,,
,2,Transport,Connecting your business wherevere it grows.,solution,,,,,TRUE,,
,3,Satellite,"Reliable high-speed internet for businesses powered by Starlink's cutting-edge network. Starlink’s Approach Low Earth orbit for faster connectivity (550 km vs 35000+ km)
Lower latency  — around 25 ms vs 600+ ms on traditional satellite internet Covers the entire globe even remote or hard-to-reach areas.",solution,,,,,TRUE,,
,4,Content,Redefining the digital experience of your customers with amazing content,solution,,,,,TRUE,,
,5,Security Anti-DDos,The evolution of Enterprise-grade Connectivity. Giving you not just dedicated but secured Internet Access.Hybrid Anti-DDOS Solutions Strategy Combines the agility of mitigating DDoS attacks through local scrubbing center (within Converge Network) and the capacity of Cloud DDoS protection for large volume attacks. Dedicated Gateway Dedicated gateway for Anti-DDoS subscribers for effective detection and mitigation.Time to detect 0-30 secs | Time to mitigate < 2s (auto),solution,,,,,TRUE,,
,6,Managed Services,Seamless support and smarter management for your operations,solution,,,,,TRUE,,
,7,Colocation Data Centers,"Ensure your servers are professionally managed for optimal performance keeping critical data and applications running smoothly and reliably. Reliable, secure data center hosting on a resilient pure fiber network—ensuring uninterrupted service and trusted server management.",solution,,,,,TRUE,,
,8,Fiber Broadband,High-speed internet reliable with dedicated & priority support.,category,1,,,,TRUE,,
,9,Fiber Dedicated,For ISPs and businesses with their own AS and IP prefixes.,category,1,,,,TRUE,,
,10,IX Express,Connectivity benefits of an ISP with international presence and capacity,category,1,,,,TRUE,,
,11,IPT Express,For ISPs and businesses with their own AS and IP prefixes,category,1,,,,TRUE,,
,12,Metro Ethernet,Secure high-capacity WAN connectivity for seamless collaboration across locations.,category,2,,,,TRUE,,
,13,IP VPN,A dedicated private network connectivity service that securely links remote offices together using MPLS technology.,category,2,,,,TRUE,,
,14,FASTER,FASTER is a secure Layer 3 VPN over our pure fiber network connecting your offices branches and remote sites.,category,2,,,,TRUE,,
,15,Optical Transport Network,Secure scalable reliable and flexible optical transport network,category,2,,,,TRUE,,
,16,Cloud Direct Connect,Private high-throughput link between your enterprise network and public cloud providers (CSP) enabling secure WAN-like integration.,category,2,,,,TRUE,,
,17,DC Express,DC Express supports different protocols to connect data centers that host your IT Services and Network Ele,category,2,,,,TRUE,,
,18,Ethernet International Private Line,Secure scalable Layer 2 WAN connectivity for your global offices via Trans-Asia and Trans-Pacific cables.,category,2,,,,TRUE,,
,19,CLS Express,Dedicated Ethernet over DWDM for seamless connectivity between cable landing stat,category,2,,,,TRUE,,
,20,Customizable Interface,Custom-fit solutions for every setup.,category,2,,,,TRUE,,
,21,Apps,Seamlessly connects with various content platforms to match all your needs,category,4,,,,TRUE,,
,22,Live Tv,Stream your favorite live shows without lag or interruptions,category,4,,,,TRUE,,
,23,E-Commerce,Offer guests more than live TV unlock more services with built-in eCommerce,category,4,,,,TRUE,,
,24,In Room Dining,Virtually host your menu and more on the guest's screen,category,4,,,,TRUE,,
,25,Hotel Information,Turn every screen into a showcase of your hotel's personality perks and charm,category,4,,,,TRUE,,
,26,On-Premise Defense,Quick simple mitigation. Local scrubbing center faster recovery. 40 Gbps mitigation capacity (On-Premise Defense),category,5,,,,TRUE,,
,27,Hybrid Defenses,Integrated Solution. Fastest Time to Mitigation. Defeats Largest DDoS attacks.,category,5,,,,TRUE,,
,28,Cloud Defenses,Advanced Mitigation. Global Cloud Scrubbing centers. Defeats the Largest DDoS attacks.,category,5,,,,TRUE,,
,29,DraaS,Disaster Recovery as a Service. An in-country cloud service that safeguards your data with continuous protection and ensures business continuity during disasters outages or cyber attacks—all through an OPEX model.,category,6,,,,TRUE,,
,30,SD-WAN,A connectivity that works for you. Stabilize & secure your network across multiple locations.,category,6,,,,TRUE,,
,31,Managed Wi-Fi,Seamless and consistent Wi-Fi that’s expertly managed. Simple fast and reliable.,category,6,,,,TRUE,,
,32,Managed Surveillance,"Secure Monitor Protect - Managed by Experts. Converge Managed Surveillance provides innovative solutions for property and life protection, using AI to enhance security and efficiency. With Smart Detection and global standards compliance, it offers a scalable approach to modern surveillance.",category,6,,,,TRUE,,
,33,Fiber Broadband PEAK 50-100 mbps,Fiber Broadband PEAK 50-100 mbps,product,8,,,,TRUE,,
,34,Fiber Broadband PEAK 100-200 mbps,Fiber Broadband PEAK 100-200 mbps,product,8,,,,TRUE,,
,35,Fiber Broadband PEAK 200-400 mbps,Fiber Broadband PEAK 200-400 mbps,product,8,,,,TRUE,,
,36,Fiber Broadband PEAK 300-600 mbps,Fiber Broadband PEAK 300-600 mbps,product,8,,,,TRUE,,
,37,Fiber Broadband PEAK 400-800 mbps,Fiber Broadband PEAK 400-800 mbps,product,8,,,,TRUE,,
,38,Fiber Broadband PEAK with IP 120 mbps,Fiber Broadband PEAK with IP 120 mbps,product,8,,,,TRUE,,
,39,Fiber Broadband PEAK with IP 250 mbps,Fiber Broadband PEAK with IP 250 mbps,product,8,,,,TRUE,,
,40,Fiber Broadband PEAK with IP 500 mbps,Fiber Broadband PEAK with IP 500 mbps,product,8,,,,TRUE,,
,41,Fiber Broadband PEAK with IP 700 mbps,Fiber Broadband PEAK with IP 700 mbps,product,8,,,,TRUE,,
,42,Fiber Broadband PEAK with IP 1000 mbps,Fiber Broadband PEAK with IP 1000 mbps,product,8,,,,TRUE,,
,43,Fiber Broadband DAY 50-100 mbps,Fiber Broadband DAY 50-100 mbps,product,8,,,,TRUE,,
,44,Fiber Broadband DAY 100-200 mbps,Fiber Broadband DAY 100-200 mbps,product,8,,,,TRUE,,
,45,Fiber Broadband DAY 200-400 mbps,Fiber Broadband DAY 200-400 mbps,product,8,,,,TRUE,,
,46,Fiber Broadband DAY 300-600 mbps,Fiber Broadband DAY 300-600 mbps,product,8,,,,TRUE,,
,47,Fiber Broadband DAY 400-800 mbps,Fiber Broadband DAY 400-800 mbps,product,8,,,,TRUE,,
,48,Fiber Broadband DAY 500-1000 mbps,Fiber Broadband DAY 500-1000 mbps,product,8,,,,TRUE,,
,49,Starlink Enterprise Kit,Ideal for fixed-site use with flexible installation longer cables and support for custom router setups.,product,3,,,,TRUE,,
,50,Starlink Flat High Performance Kit,Built for mobility and tough environments offering wider coverage better GPS and reliable connectivity.,product,3,,,,TRUE,,
,51,Starlink Mini Kit,A compact portable kit that fits in a backpack and delivers fast low-latency internet on the go.,product,3,,,,TRUE,,
,52,STB with App,Php 300 / month / unit,product,2,,,,TRUE,,
,53,Smart TV with App,Php 250 / month / unit + cost of Smart TV,product,2,,,,TRUE,,
,54,App Only,Php 250 / month,product,2,,,,TRUE,,
,55,Add Ons: Warner Channels,Add Ons,product,2,,,,TRUE,,
,56,Add Ons: Remote,Add Ons,product,2,,,,TRUE,,
,57,Add Ons: Proxy Changes,Add Ons,product,2,,,,TRUE,,
,58,Add Ons: CNN,Add Ons,product,2,,,,TRUE,,
,59,Add Ons: STB with remote,Add Ons,product,2,,,,TRUE,,
,60,Add Ons: UI Changes,Add Ons,product,2,,,,TRUE,,
,61,Add Ons: Warner Channels + HBO + WarnerTv + Cinemax,Add Ons,product,2,,,,TRUE,,
,62,Hotel X Package 270 rooms: Connectivity,Secured Direct Internet Access with 1Gig Bandwidth Standard CPE FREE Anti-DDOS,product,2,,,,TRUE,,
,63,Hotel X Package 270 rooms: Content,Hospitality platform set top box Basic content + CNN + Warner Proxy Serve,product,2,,,,TRUE,,
,64,SD-WAN Basic,25 Mbps 4G/LTE Back Up Huawei H3C Network Design WAN Network Configuration/Commissioning RMA/Device Replacement,product,30,,,,TRUE,,
,65,SD-WAN Premium,"50 Mbps 4G/LTE Back Up FORTINET CISCO Cloud and On Prem
Network Design WAN Network Configuration/Commissioning NOC Monitoring SLA Review & Reporting Service Improvement Plan Telco Coordination (3rd party WAN Issue) Software Upgrade/Update Service Delivery Manager Onsite Support RMA/Device Replacement Scheduled Maintenance/Event Support",product,30,,,,TRUE,,
,66,Managed Wi-Fi: Basic Package,"For customers that are cost conscious, with no brand preference, simple and easy to deploy solution, we deploy Reyee Ruijie, Zyxel for their managed wifi project. Offer to budget hotels, small resorts, small hospitals schools and public office.",product,31,,,,TRUE,,
,67,Managed Wi-Fi: Premium Package,"For customers that have preference for top brands (see leaders Quadrant below for Enterprise for wired and wireless infra). We can carry Huawei. Offer to 4-5 star Hotels, Luxury resorts, large hospitals, universities, smart buildings and secure government sites.",product,31,,,,TRUE,,
,68,Smart Cameras,Smart Cameras,product,32,,,,TRUE,,
,69,Access Control,Access Control,product,32,,,,TRUE,,
,70,People Counting,People Counting,product,32,,,,TRUE,,
,71,Entry and Exit Management,Entry and Exit Management,product,32,,,,TRUE,,
,72,Perimeter Management,Perimeter Management,product,32,,,,TRUE,,
,73,Attendance Management,Attendance Management,product,32,,,,TRUE,,
,74,Visitor Management,Visitor Management,product,32,,,,TRUE,,